date,strategy,total_option_pnl,total_hedge_pnl,total_pnl,trade_count,cum_pnl
2022-07-06,put_credit_spread,0.0,0.0,0.0,1,5849.294954000003
2022-07-07,put_credit_spread,0.0,0.0,0.0,1,5849.294954000003
2022-07-08,put_credit_spread,0.0,0.0,0.0,1,5849.294954000003
2022-07-11,put_credit_spread,0.0,0.0,0.0,1,5849.294954000003
2022-07-12,put_credit_spread,0.0,0.0,0.0,1,5849.294954000003
2022-07-13,put_credit_spread,0.0,0.0,0.0,1,5849.294954000003
2022-07-14,put_credit_spread,0.0,0.0,0.0,1,5849.294954000003
2022-07-15,put_credit_spread,-75.5,0.0,-75.5,1,5773.794954000003
2022-07-18,put_credit_spread,214.5,0.0,214.5,1,5988.294954000003
2022-07-19,put_credit_spread,0.0,0.0,0.0,1,5988.294954000003
2022-07-20,put_credit_spread,0.0,0.0,0.0,1,5988.294954000003
2022-07-21,put_credit_spread,0.0,0.0,0.0,1,5988.294954000003
2022-07-22,put_credit_spread,0.0,0.0,0.0,1,5988.294954000003
2022-07-25,put_credit_spread,0.0,0.0,0.0,1,5988.294954000003
2022-07-26,put_credit_spread,0.0,0.0,0.0,1,5988.294954000003
2022-07-27,put_credit_spread,0.0,0.0,0.0,1,5988.294954000003
2022-07-28,put_credit_spread,0.0,0.0,0.0,1,5988.294954000003
2022-07-29,put_credit_spread,93.35825,0.0,93.35825,2,6081.653204000003
2022-08-01,put_credit_spread,0.0,0.0,0.0,1,6081.653204000003
2022-08-02,put_credit_spread,0.0,0.0,0.0,1,6081.653204000003
2022-08-03,put_credit_spread,0.0,0.0,0.0,1,6081.653204000003
2022-08-04,put_credit_spread,0.0,0.0,0.0,1,6081.653204000003
2022-08-05,put_credit_spread,0.0,0.0,0.0,1,6081.653204000003
2022-08-08,put_credit_spread,0.0,0.0,0.0,1,6081.653204000003
2022-08-09,put_credit_spread,0.0,0.0,0.0,1,6081.653204000003
2022-08-10,put_credit_spread,0.0,0.0,0.0,1,6081.653204000003
2022-08-11,put_credit_spread,0.0,0.0,0.0,1,6081.653204000003
2022-08-12,put_credit_spread,0.0,0.0,0.0,1,6081.653204000003
2022-08-15,put_credit_spread,0.0,0.0,0.0,1,6081.653204000003
2022-08-16,put_credit_spread,0.0,0.0,0.0,1,6081.653204000003
2022-08-17,put_credit_spread,0.0,0.0,0.0,1,6081.653204000003
2022-08-18,put_credit_spread,0.0,0.0,0.0,1,6081.653204000003
2022-08-19,put_credit_spread,0.0,0.0,0.0,1,6081.653204000003
2022-08-22,put_credit_spread,0.0,0.0,0.0,1,6081.653204000003
2022-08-23,put_credit_spread,0.0,0.0,0.0,1,6081.653204000003
2022-08-24,put_credit_spread,0.0,0.0,0.0,1,6081.653204000003
2022-08-25,put_credit_spread,0.0,0.0,0.0,1,6081.653204000003
2022-08-26,put_credit_spread,279.39875,0.0,279.39875,2,6361.051954000003
2022-08-29,put_credit_spread,11.0,0.0,11.0,1,6372.051954000003
2022-08-30,put_credit_spread,0.0,0.0,0.0,1,6372.051954000003
2022-08-31,put_credit_spread,0.0,0.0,0.0,1,6372.051954000003
2022-09-01,put_credit_spread,0.0,0.0,0.0,1,6372.051954000003
2022-09-02,put_credit_spread,0.0,0.0,0.0,1,6372.051954000003
2022-09-06,put_credit_spread,0.0,0.0,0.0,1,6372.051954000003
2022-09-07,put_credit_spread,5.0,0.0,5.0,1,6377.051954000003
2022-09-08,put_credit_spread,0.0,0.0,0.0,1,6377.051954000003
2022-09-09,put_credit_spread,0.0,0.0,0.0,1,6377.051954000003
2022-09-12,put_credit_spread,0.0,0.0,0.0,1,6377.051954000003
2022-09-13,put_credit_spread,0.0,0.0,0.0,1,6377.051954000003
